matrix,kernel,avg_ms,stddev_ms,min_ms,max_ms,gflops,bandwidth_gbs,avg_err,block_size
matrices/af_shell5.mtx,CSR-Vector,0.544788,0.001411,0.541696,0.547840,64.5714,405.9623,3.33e-16,256
matrices/af_shell5.mtx,CSR-Vector Shuffle,0.487629,0.001013,0.486400,0.489472,72.1404,453.5491,3.33e-16,256
matrices/af_shell5.mtx,cuSPARSE,0.353219,0.003828,0.344064,0.360448,99.5920,626.1381,3.55e-16,256
matrices/af_shell5.mtx,SELLpack-32,0.279491,0.000758,0.277504,0.281600,125.8638,788.6898,2.28e-16,256
matrices/BenElechi1.mtx,COO,1.401242,0.004423,1.391616,1.412096,18.7698,152.9657,2.70e-16,256
matrices/BenElechi1.mtx,CSR-Scalar,0.466022,0.032686,0.441344,0.523264,56.4372,349.1751,1.77e-16,256
matrices/BenElechi1.mtx,CSR-Vector,0.298476,0.001360,0.292864,0.301056,88.1178,545.1818,2.99e-16,256
matrices/BenElechi1.mtx,CSR-Vector Shuffle,0.292045,0.001013,0.289792,0.293888,90.0581,557.1866,2.99e-16,256
matrices/BenElechi1.mtx,cuSPARSE,0.246292,0.000753,0.243712,0.247808,106.7876,660.6919,3.15e-16,256
matrices/BenElechi1.mtx,SELLpack-32,0.212296,0.001568,0.209920,0.219136,123.8885,767.9954,1.77e-16,256
matrices/Queen_4147.mtx,COO,29.772943,0.020857,29.735935,29.841408,22.1341,179.3018,4.96e-16,256
matrices/Queen_4147.mtx,CSR-Scalar,10.611630,0.021661,10.553344,10.657792,62.1015,380.4254,2.70e-16,256
matrices/Queen_4147.mtx,CSR-Vector,5.790044,0.009380,5.765120,5.809152,113.8158,697.2198,4.32e-16,256
matrices/Queen_4147.mtx,CSR-Vector Shuffle,5.333934,0.002997,5.327872,5.339136,123.5483,756.8398,4.32e-16,256
matrices/Queen_4147.mtx,cuSPARSE,5.841142,0.026973,5.798912,5.962752,112.8202,691.1206,4.65e-16,256
matrices/Queen_4147.mtx,SELLpack-32,4.911043,0.003965,4.902912,4.919296,134.1871,827.6978,2.70e-16,256
